Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value,Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2007,X,USA,World,World,TOTAL CPC,TOTAL MOT,850131,368292635,13477052,,u,6102002,N/A,
2007,M,USA,China,World,TOTAL CPC,TOTAL MOT,850131,201765044,9194247,,u,22171777,N/A,
2007,X,USA,China,World,TOTAL CPC,TOTAL MOT,850131,11079281,405428,,u,172670,N/A,
2007,M,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,150657579,6865327,,u,10915649,N/A,
2007,X,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,5648006,206679,,u,106428,N/A,
2008,M,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,713088823,46813017,,u,84603648,N/A,
2008,X,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,456384460,18157476,,u,14994497,N/A,
2008,M,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,327926080,32788700,,u,67391459,N/A,
2008,X,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,53897263,2470800,,u,2438525,N/A,
2008,M,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,123594446,5880400,,u,3957609,N/A,
2008,X,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,36480834,2010800,,u,2423203,N/A,
2008,M,European Union,"Other Europe, nes",World,TOTAL CPC,TOTAL MOT,850131,384382,25234,,u,10802,N/A,
2008,M,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,68494662,1598722,,u,957709,N/A,
2008,X,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,103873686,3120500,,u,1996846,N/A,
2008,M,China,World,World,TOTAL CPC,TOTAL MOT,850131,263023033,12003972,,u,36504173,N/A,
2008,X,China,World,World,TOTAL CPC,TOTAL MOT,850131,772116296,31540589,,u,128668964,N/A,
2008,M,China,China,World,TOTAL CPC,TOTAL MOT,850131,52799677,2409697,,u,24327388,N/A,
2008,M,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,72274188,3298484,,u,4010004,N/A,
2008,X,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,147716663,6034156,,u,12945105,N/A,
2008,M,China,USA,World,TOTAL CPC,TOTAL MOT,850131,20782738,948493,,u,783567,N/A,
2008,X,China,USA,World,TOTAL CPC,TOTAL MOT,850131,145689408,5951344,,u,17218831,N/A,
2008,M,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,279020414,22685290,,N/A,,N/A,
2008,X,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,803660978,36027812,,N/A,,N/A,
2008,M,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,171607028,16274500,,N/A,,N/A,
2008,X,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,66152509,3695285,,N/A,,N/A,
2008,M,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,14751280,166796,,N/A,,N/A,
